,node1,node2,label
0,443,433,0
1,433,443,1
2,443,442,2
3,442,452,3
4,452,442,4
5,442,443,5
6,443,453,6
7,453,454,7
8,454,455,8
9,455,454,9
10,454,444,10
11,444,445,11
12,445,446,12
13,446,456,13
14,456,466,14
15,466,467,15
16,467,468,16
17,468,469,17
18,469,468,18
19,468,478,19
20,478,488,20
21,488,487,21
22,487,486,22
23,486,485,23
24,485,486,24
25,486,496,25
26,496,486,26
27,496,495,27
28,495,494,28
29,494,495,29
30,494,493,30
31,493,492,31
32,492,491,32
33,491,490,33
34,490,500,34
35,500,501,35
36,501,502,36
37,502,512,37
38,512,511,38
39,511,501,39
40,501,500,40
41,500,509,41
42,509,500,42
43,501,511,43
44,511,510,44
45,510,520,45
46,520,510,46
47,510,500,47
48,500,510,48
49,520,530,49
50,530,540,50
51,540,549,51
52,549,559,52
53,559,550,53
54,550,551,54
55,551,552,55
56,552,551,56
57,551,561,57
58,561,571,58
59,571,570,59
60,570,571,60
61,571,581,61
62,581,582,62
63,582,581,63
64,581,591,64
65,591,581,65
66,581,571,66
67,582,583,67
68,583,573,68
69,573,563,69
70,563,564,70
71,564,554,71
72,554,544,72
73,544,545,73
74,545,546,74
75,546,556,75
76,556,546,76
77,556,555,77
78,555,556,78
79,556,566,79
80,566,576,80
81,576,586,81
82,586,576,82
83,576,566,83
84,566,567,84
85,567,566,85
86,762,761,86
87,761,762,87
88,762,772,88
89,772,773,89
90,773,763,90
91,763,773,91
92,773,774,92
93,774,764,93
94,764,774,94
95,774,784,95
96,784,783,96
97,783,782,97
98,782,781,98
99,781,782,99
100,782,792,100
101,792,793,101
102,793,803,102
103,803,804,103
104,804,794,104
105,794,795,105
106,795,794,106
107,794,784,107
108,784,774,108
109,774,775,109
110,775,776,110
111,776,777,111
112,777,776,112
113,776,766,113
114,766,765,114
115,765,764,115
116,764,763,116
117,784,785,117
118,785,795,118
119,795,796,119
120,796,806,120
121,806,816,121
122,816,826,122
123,826,825,123
124,825,826,124
125,826,827,125
126,827,828,126
127,828,838,127
128,838,848,128
129,848,847,129
130,847,846,130
131,846,856,131
132,856,857,132
133,857,858,133
134,858,868,134
135,868,878,135
136,878,879,136
137,879,889,137
138,889,899,138
139,899,898,139
140,898,897,140
141,897,887,141
142,887,877,142
143,877,867,143
144,867,877,144
145,877,878,145
146,879,878,146
147,878,888,147
148,888,887,148
149,887,888,149
150,888,878,150
151,878,868,151
152,868,869,152
153,869,860,153
154,860,861,154
155,861,871,155
156,871,881,156
157,881,871,157
158,881,882,158
159,882,872,159
160,872,882,160
161,882,881,161
162,882,892,162
163,892,891,163
164,891,890,164
165,890,891,165
166,891,892,166
167,892,893,167
168,893,892,168
169,892,882,169
170,892,902,170
171,902,912,171
172,53,63,172
173,63,64,173
174,64,54,174
175,54,53,175
176,53,54,176
177,54,44,177
178,44,43,178
179,43,42,179
180,42,41,180
181,41,40,181
182,40,50,182
183,50,59,183
184,59,69,184
185,69,60,185
186,60,70,186
187,70,60,187
188,60,69,188
189,69,59,189
190,60,50,190
191,59,49,191
192,49,40,192
193,40,41,193
194,41,51,194
195,51,61,195
196,61,62,196
197,62,63,197
198,63,53,198
199,53,43,199
200,43,53,200
201,43,33,201
202,33,23,202
203,23,22,203
204,22,12,204
205,12,2,205
206,2,1,206
207,1,11,207
208,11,1,208
209,1,2,209
210,2,992,210
211,992,982,211
212,982,992,212
213,992,991,213
214,991,981,214
215,981,971,215
216,971,970,216
217,970,960,217
218,960,950,218
219,950,940,219
220,940,949,220
221,949,939,221
222,939,930,222
223,930,939,223
224,939,949,224
225,949,948,225
226,948,947,226
227,947,957,227
228,957,958,228
229,958,957,229
230,957,956,230
