,node1,node2,label
0,443|,453|443,6
1,443|,444|443,3385
2,443|,442|443,2
3,443|,433|443,0
4,442|,443|442,5
5,442|,441|442,897
6,442|,452|442,3
7,442|,432|442,1508
8,411|,410|,2542
9,411|,421|411,309
10,411|,401|411,1398
11,411|,412|411,305
12,433|,434|433,2547
13,433|,423|433,2548
14,433|,432|433,313
15,433|,443|433,1
16,404|,414|404,1418
17,404|,403|404,1225
18,404|,405|404,277
19,404|,394|404,1420
20,446|,445|446,2700
21,446|,436|446,258
22,446|,456|446,13
23,446|,447|446,1513
24,451|,452|451,894
25,451|,450|451,3309
26,451|,461|451,1503
27,451|,441|451,1656
28,462|,452|462,1506
29,462|,461|462,1654
30,462|,472|462,1653
31,462|,463|462,900
32,431|,441|431,890
33,431|,432|431,311
34,431|,421|431,892
35,431|,430|431,1898
36,440|,450|440,1900
37,440|,430|440,1901
38,440|,441|440,970
39,440|,449|440,3310
40,453|,452|453,1655
41,453|,454|453,7
42,453|,463|453,2691
43,453|,443|453,896
44,475|,465|475,907
45,475|,474|475,988
46,475|,485|475,909
47,475|,476|475,905
48,464|,454|464,3388
49,464|,463|464,3387
50,464|,465|464,983
51,464|,474|464,903
52,473|,463|473,981
53,473|,474|473,973
54,473|,472|473,2689
55,473|,483|473,974
56,425|,424|425,266
57,425|,435|425,268
58,425|,426|425,265
59,425|,415|425,1518
60,432|,433|432,312
61,432|,442|432,1509
62,432|,422|432,314
63,432|,431|432,1502
64,454|,464|454,902
65,454|,455|454,8
66,454|,453|454,971
67,454|,444|454,10
68,472|,462|472,1652
69,472|,471|472,965
70,472|,482|472,1552
71,472|,473|472,2690
72,452|,442|452,4
73,452|,462|452,899
74,452|,453|452,895
75,452|,451|452,1507
76,430|,431|430,889
77,430|,440|430,1899
78,430|,439|430,1902
79,430|,420|430,2749
80,422|,423|422,1500
81,422|,421|422,315
82,422|,412|422,308
83,422|,432|422,2751
84,434|,444|434,270
85,434|,433|434,1897
86,434|,435|434,2549
87,434|,424|434,272
88,421|,431|421,310
89,421|,422|421,316
90,421|,411|421,3612
91,421|,420|421,320
92,450|,440|450,969
93,450|,459|450,1644
94,450|,460|450,3021
95,450|,451|450,1529
96,441|,442|441,898
97,441|,451|441,893
98,441|,440|441,2079
99,441|,431|441,891
100,456|,446|456,1512
101,456|,457|456,2693
102,456|,466|456,14
103,470|,460|470,967
104,470|,479|470,957
105,470|,480|470,955
106,470|,471|470,963
107,449|,459|449,1646
108,449|,440|449,2546
109,449|,448|449,2080
110,449|,439|449,2083
111,401|,411|401,304
112,401|,402|401,1397
113,401|,391|401,1399
114,401|,400|401,1400
115,412|,422|412,307
116,412|,411|412,306
117,412|,402|412,1521
118,412|,413|412,317
119,459|,450|459,1643
120,459|,469|459,1647
121,459|,458|459,2702
122,459|,449|459,1645
123,423|,433|423,1501
124,423|,422|423,319
125,423|,424|423,1895
126,423|,413|423,1230
127,465|,464|465,908
128,465|,455|465,2692
129,465|,466|465,1510
130,465|,475|465,984
131,463|,453|463,901
132,463|,462|463,2686
133,463|,473|463,3389
134,463|,464|463,982
135,474|,464|474,2687
136,474|,475|474,904
137,474|,484|474,944
138,474|,473|474,972
139,461|,462|461,1505
140,461|,471|461,1504
141,461|,451|461,3962
142,461|,460|461,953
143,458|,459|458,2695
144,458|,468|458,1905
145,458|,457|458,3961
146,458|,448|458,1904
147,444|,443|444,3329
148,444|,454|444,3386
149,444|,434|444,271
150,444|,445|444,11
151,426|,425|426,264
152,426|,427|426,262
153,426|,416|426,3384
154,426|,436|426,256
155,455|,445|,3843
156,455|,456|455,2551
157,455|,454|455,9
158,455|,465|455,3845
159,484|,474|484,945
160,484|,485|484,976
161,484|,494|484,946
162,484|,483|484,948
163,435|,434|435,269
164,435|,445|435,1515
165,435|,436|435,260
166,435|,425|435,1517
167,424|,434|424,1896
168,424|,425|424,267
169,424|,423|424,1499
170,424|,414|424,273
171,466|,465|466,2688
172,466|,456|466,1511
173,466|,467|466,15
174,466|,476|466,1536
175,445|,435|,1516
176,445|,446|445,12
177,445|,444|445,3328
178,445|,455|445,2550
179,436|,446|436,257
180,436|,435|436,259
181,436|,426|436,261
182,436|,437|436,328
183,447|,446|447,327
184,447|,437|447,884
185,447|,457|447,883
186,447|,448|447,2699
187,403|,413|403,1429
188,403|,393|403,1524
189,403|,404|403,1428
190,403|,402|403,1226
191,437|,427|437,329
192,437|,436|437,1514
193,437|,438|437,885
194,437|,447|437,2698
195,468|,467|468,1541
196,468|,458|468,3020
197,468|,469|468,17
198,468|,478|468,19
199,405|,415|405,1223
200,405|,404|405,1417
201,405|,406|405,278
202,405|,395|405,2092
203,415|,425|415,2541
204,415|,416|415,1432
205,415|,414|415,1224
206,415|,405|415,1431
207,428|,438|428,2754
208,428|,427|428,2756
209,428|,429|428,2744
210,428|,418|428,2088
211,457|,456|,3883
212,457|,467|457,3846
213,457|,447|457,882
214,457|,458|457,2694
215,448|,458|448,1903
216,448|,438|448,2081
217,448|,449|448,2701
218,448|,447|448,326
219,486|,476|486,1544
220,486|,487|486,961
221,486|,496|486,25
222,486|,485|486,23
223,476|,466|,1535
224,476|,486|476,1545
225,476|,477|476,1537
226,476|,475|476,906
227,485|,475|485,987
228,485|,486|485,24
229,485|,495|485,910
230,485|,484|485,977
231,505|,495|505,914
232,505|,515|505,3952
233,505|,506|505,1777
234,505|,504|505,912
235,494|,484|494,947
236,494|,495|494,29
237,494|,493|494,30
238,494|,504|494,990
239,498|,497|498,1533
240,498|,508|498,876
241,498|,499|498,1649
242,498|,488|498,878
243,487|,477|487,879
244,487|,486|487,22
245,487|,488|487,1648
246,487|,497|487,3018
247,467|,457|467,881
248,467|,477|467,1542
249,467|,466|467,2703
250,467|,468|467,16
251,460|,469|460,1530
252,460|,470|460,954
253,460|,461|460,3022
254,460|,450|460,968
255,477|,487|477,1543
256,477|,467|477,880
257,477|,478|477,1538
258,477|,476|477,1534
259,499|,489|499,1547
260,499|,498|499,1567
261,499|,490|499,1548
262,499|,509|499,1561
263,478|,477|478,1906
264,478|,479|478,1539
265,478|,488|478,20
266,478|,468|478,3019
267,489|,479|489,1564
268,489|,499|489,1546
269,489|,488|489,959
270,489|,480|489,1650
271,438|,448|438,325
272,438|,428|438,2755
273,438|,439|438,886
274,438|,437|438,2696
275,509|,500|,42
276,509|,499|509,3015
277,509|,508|509,1571
278,509|,519|509,922
279,496|,486|496,26
280,496|,506|496,916
281,496|,495|496,27
282,496|,497|496,874
283,469|,479|469,1531
284,469|,468|469,18
285,469|,459|469,2757
286,469|,460|469,962
287,439|,449|439,2082
288,439|,430|439,888
289,439|,429|439,887
290,439|,438|439,324
291,479|,469|479,1540
292,479|,489|479,958
293,479|,478|479,1565
294,479|,470|479,3017
295,488|,478|488,960
296,488|,487|488,21
297,488|,489|488,1566
298,488|,498|488,1532
299,495|,485|495,986
300,495|,496|495,915
301,495|,494|495,28
302,495|,505|495,911
303,497|,487|497,1658
304,497|,498|497,875
305,497|,507|497,1659
306,497|,496|497,985
307,506|,505|,1778
308,506|,496|506,2554
309,506|,507|506,917
310,506|,516|506,2825
311,480|,490|480,1559
312,480|,481|480,1556
313,480|,470|480,956
314,480|,489|480,1907
315,507|,497|507,2553
316,507|,508|507,2563
317,507|,506|507,2552
318,507|,517|507,918
319,501|,500|501,40
320,501|,511|501,43
321,501|,502|501,36
322,501|,491|501,1145
323,490|,500|490,34
324,490|,491|490,1549
325,490|,480|490,3016
326,490|,499|490,1560
327,508|,498|508,877
328,508|,509|508,921
329,508|,518|508,2564
330,508|,507|508,1568
331,500|,490|,1563
332,500|,509|500,41
333,500|,501|500,35
334,500|,510|500,48
335,471|,481|471,1554
336,471|,461|471,952
337,471|,472|471,964
338,471|,470|471,966
339,517|,507|517,2822
340,517|,518|517,919
341,517|,527|517,1569
342,517|,516|517,2830
343,527|,517|527,1570
344,527|,526|527,2558
345,527|,537|527,2352
346,527|,528|527,928
347,516|,506|516,2824
348,516|,526|516,2560
349,516|,515|516,1775
350,516|,517|516,2831
351,483|,484|483,975
352,483|,473|483,980
353,483|,493|483,978
354,483|,482|483,949
355,503|,493|503,1784
356,503|,504|503,1772
357,503|,502|503,1144
358,503|,513|503,702
359,492|,482|492,1550
360,492|,493|492,1147
361,492|,491|492,32
362,492|,502|492,1149
363,524|,514|524,705
364,524|,525|524,706
365,524|,523|524,714
366,524|,534|524,712
367,515|,514|515,2823
368,515|,516|515,1774
369,515|,525|515,710
370,515|,505|515,1776
371,513|,503|513,701
372,513|,512|513,993
373,513|,514|513,703
374,513|,523|513,2565
375,504|,505|504,913
376,504|,503|504,3311
377,504|,514|504,991
378,504|,494|504,1142
379,493|,494|493,989
380,493|,492|493,31
381,493|,503|493,1143
382,493|,483|493,979
383,534|,524|534,713
384,534|,533|534,1156
385,534|,544|534,1165
386,534|,535|534,1164
387,514|,504|514,1141
388,514|,513|514,992
389,514|,524|514,704
390,514|,515|514,1773
391,525|,515|525,709
392,525|,524|525,711
393,525|,526|525,707
394,525|,535|525,1151
395,482|,481|482,950
396,482|,492|482,1651
397,482|,472|482,1551
398,482|,483|482,1657
399,502|,501|502,3312
400,502|,492|502,1148
401,502|,512|502,37
402,502|,503|502,1150
403,523|,513|523,700
404,523|,522|523,1835
405,523|,524|523,1155
406,523|,533|523,715
407,481|,491|481,1557
408,481|,482|481,1553
409,481|,471|481,951
410,481|,480|481,1555
411,511|,512|511,1132
412,511|,501|511,39
413,511|,521|511,1130
414,511|,510|511,44
415,491|,492|491,1146
416,491|,490|491,33
417,491|,481|491,1558
418,491|,501|491,1771
419,522|,512|522,3013
420,522|,532|522,1134
421,522|,521|522,995
422,522|,523|522,699
423,532|,522|532,698
424,532|,531|532,1135
425,532|,542|532,1137
426,532|,533|532,1781
427,521|,522|521,1133
428,521|,511|521,1131
429,521|,531|521,1783
430,521|,520|521,996
431,512|,511|512,38
432,512|,502|512,1770
433,512|,513|512,3791
434,512|,522|512,994
435,510|,500|510,47
436,510|,511|510,1129
437,510|,519|510,924
438,510|,520|510,45
439,520|,510|520,46
440,520|,530|520,49
441,520|,529|520,997
442,520|,521|520,1782
443,538|,539|538,692
444,538|,528|538,2557
445,538|,548|538,1713
446,538|,537|538,930
447,529|,539|529,998
448,529|,519|529,1838
449,529|,520|529,934
450,529|,528|529,3973
451,533|,523|533,1779
452,533|,532|533,1768
453,533|,543|533,716
454,533|,534|533,2351
455,531|,521|531,1769
456,531|,532|531,1136
457,531|,541|531,695
458,531|,530|531,1725
459,519|,510|519,923
460,519|,529|519,1562
461,519|,518|519,925
462,519|,509|519,3014
463,553|,543|553,2828
464,553|,552|553,1158
465,553|,563|553,2202
466,553|,554|553,1160
467,541|,542|541,696
468,541|,551|541,935
469,541|,540|541,2350
470,541|,531|541,1724
471,543|,533|543,1139
472,543|,542|543,1780
473,543|,553|543,1157
474,543|,544|543,717
475,528|,529|528,1837
476,528|,518|528,2829
477,528|,538|528,929
478,528|,527|528,927
479,526|,527|526,1836
480,526|,536|526,687
481,526|,525|526,708
482,526|,516|526,2559
483,518|,517|518,2821
484,518|,528|518,926
485,518|,519|518,2556
486,518|,508|518,920
487,549|,539|549,1711
488,549|,540|549,1727
489,549|,559|549,52
490,549|,548|549,1710
491,530|,539|530,931
492,530|,520|530,932
493,530|,531|530,694
494,530|,540|530,50
495,562|,552|562,1834
496,562|,561|562,2198
497,562|,572|562,2199
498,562|,563|562,1856
499,539|,538|539,1712
500,539|,529|539,933
501,539|,549|539,1709
502,539|,530|539,693
503,548|,547|,1714
504,548|,549|548,1726
505,548|,538|548,1707
506,548|,558|548,2045
507,559|,549|559,3645
508,559|,550|559,53
509,559|,558|559,3382
510,559|,569|559,3646
511,560|,569|560,938
512,560|,550|560,2945
513,560|,561|560,1832
514,560|,570|560,811
515,540|,549|540,51
516,540|,550|540,999
517,540|,541|540,1728
518,540|,530|540,1708
519,558|,559|558,3381
520,558|,548|558,1842
521,558|,568|558,2046
522,558|,557|558,941
523,552|,551|552,56
524,552|,553|552,1159
525,552|,562|552,2947
526,552|,542|552,1721
527,570|,580|,812
528,570|,560|570,1831
529,570|,579|570,1839
530,570|,571|570,60
531,550|,551|550,54
532,550|,559|550,3644
533,550|,540|550,2946
534,550|,560|550,937
535,537|,547|537,3378
536,537|,538|537,691
537,537|,527|537,2555
538,537|,536|537,2353
539,551|,541|551,1723
540,551|,561|551,57
541,551|,552|551,55
542,551|,550|551,936
543,568|,569|568,3648
544,568|,578|568,870
545,568|,567|568,1844
546,568|,558|568,940
547,569|,568|569,939
548,569|,560|569,2359
549,569|,559|569,2933
550,569|,579|569,3593
551,561|,571|561,58
552,561|,551|561,1843
553,561|,562|561,1833
554,561|,560|561,810
555,589|,588|589,3591
556,589|,579|589,2932
557,589|,580|589,2358
558,589|,599|589,814
559,578|,577|,871
560,578|,568|578,2044
561,578|,579|578,2042
562,578|,588|578,2355
563,567|,568|567,869
564,567|,566|567,85
565,567|,557|567,866
566,567|,577|567,1845
567,557|,567|,867
568,557|,558|557,1841
569,557|,556|557,868
570,557|,547|557,3383
571,547|,548|547,1715
572,547|,546|547,1716
573,547|,557|547,3379
574,547|,537|547,690
575,542|,532|542,697
576,542|,541|542,1722
577,542|,543|542,1138
578,542|,552|542,1729
579,582|,581|582,63
580,582|,583|582,67
581,582|,572|582,667
582,582|,592|582,3543
583,563|,562|563,1857
584,563|,553|563,2201
585,563|,573|563,1858
586,563|,564|563,70
587,572|,582|572,666
588,572|,571|572,2197
589,572|,562|572,1855
590,572|,573|572,668
591,565|,555|565,672
592,565|,564|565,674
593,565|,575|565,943
594,565|,566|565,676
595,554|,553|554,1720
596,554|,544|554,72
597,554|,555|554,684
598,554|,564|554,719
599,574|,573|574,721
600,574|,564|574,1719
601,574|,575|574,670
602,574|,584|574,1859
603,583|,582|583,2944
604,583|,584|583,830
605,583|,573|583,68
606,583|,593|583,833
607,581|,591|581,64
608,581|,582|581,62
609,581|,571|581,66
610,581|,580|581,1829
611,545|,544|545,3647
612,545|,546|545,74
613,545|,535|545,1153
614,545|,555|545,2354
615,544|,554|544,718
616,544|,543|544,1166
617,544|,545|544,73
618,544|,534|544,1140
619,564|,563|564,2200
620,564|,554|564,71
621,564|,574|564,720
622,564|,565|564,675
623,584|,583|584,831
624,584|,574|584,1860
625,584|,594|584,3375
626,584|,585|584,2203
627,573|,563|573,69
628,573|,583|573,832
629,573|,572|573,2196
630,573|,574|573,669
631,571|,572|571,665
632,571|,581|571,61
633,571|,561|571,809
634,571|,570|571,59
635,593|,583|593,829
636,593|,592|593,3544
637,593|,603|593,1283
