,node1,node2,label
0,77,76,0
1,76,66,1
2,66,65,2
3,65,55,3
4,55,54,4
5,54,64,5
6,64,74,6
7,74,73,7
8,73,72,8
9,72,71,9
10,71,61,10
11,61,51,11
12,51,52,12
13,52,53,13
14,53,52,14
15,52,42,15
16,42,43,16
17,43,44,17
18,44,45,18
19,45,46,19
20,46,36,20
21,36,26,21
22,26,36,22
23,36,37,23
24,37,38,24
25,38,48,25
26,48,49,26
27,49,59,27
28,59,69,28
29,69,68,29
30,68,67,30
31,67,77,31
32,77,78,32
33,78,77,33
34,77,67,34
35,67,66,35
36,66,56,36
37,56,57,37
38,57,56,38
39,57,58,39
40,58,68,40
41,68,58,41
42,58,48,42
43,48,47,43
44,47,37,44
45,37,36,45
46,36,35,46
47,35,36,47
48,36,46,48
49,46,56,49
50,56,66,50
51,56,46,51
52,46,45,52
53,45,44,53
54,44,54,54
55,54,44,55
56,44,43,56
57,43,33,57
58,33,34,58
59,34,24,59
60,24,23,60
61,23,33,61
62,33,23,62
63,23,22,63
64,22,32,64
65,32,22,65
66,22,23,66
67,23,13,67
68,13,14,68
69,14,4,69
70,4,3,70
71,3,93,71
72,93,83,72
73,83,93,73
74,93,3,74
75,93,92,75
76,92,2,76
77,2,92,77
78,92,82,78
79,82,83,79
80,83,73,80
81,73,83,81
82,3,2,82
83,2,12,83
84,12,2,84
85,12,11,85
86,11,10,86
87,46,47,87
88,47,48,88
89,48,58,89
90,58,59,90
91,59,58,91
92,59,50,92
93,50,59,93
94,67,57,94
95,57,47,95
96,47,46,96
97,44,34,97
98,34,44,98
99,54,55,99
100,55,65,100
101,65,75,101
102,75,85,102
103,85,86,103
104,86,76,104
105,76,86,105
106,86,96,106
107,96,86,107
108,86,87,108
109,87,86,109
110,87,97,110
111,97,98,111
112,98,99,112
113,99,9,113
114,9,8,114
115,8,9,115
116,9,19,116
117,19,10,117
118,10,11,118
119,11,12,119
120,2,1,120
121,1,11,121
122,11,21,122
123,21,20,123
124,20,21,124
125,21,31,125
126,31,41,126
127,41,51,127
128,52,62,128
129,62,72,129
130,71,72,130
131,71,81,131
132,81,71,132
133,51,41,133
134,41,42,134
135,42,52,135
136,53,43,136
137,43,42,137
138,54,53,138
139,43,53,139
140,53,54,140
141,53,63,141
142,63,62,142
143,62,52,143
144,62,61,144
145,61,62,145
146,1,0,146
147,0,90,147
148,90,0,148
149,0,9,149
150,9,99,150
151,99,89,151
152,89,99,152
153,89,79,153
154,79,78,154
155,78,88,155
156,88,98,156
157,79,70,157
158,70,79,158
159,70,80,159
160,80,70,160
161,70,60,161
162,60,69,162
163,69,60,163
164,60,61,164
165,61,71,165
166,61,60,166
167,60,50,167
168,68,78,168
169,78,68,169
170,50,40,170
171,40,30,171
172,30,31,172
173,42,32,173
174,32,33,174
175,33,32,175
176,33,43,176
177,24,25,177
178,25,35,178
179,56,55,179
180,55,45,180
181,45,35,181
182,26,25,182
183,25,26,183
184,26,27,184
185,27,17,185
186,17,16,186
187,16,26,187
188,35,34,188
189,24,34,189
190,74,84,190
191,84,94,191
192,34,33,192
193,32,42,193
194,42,41,194
195,41,31,195
196,31,21,196
197,21,22,197
198,22,12,198
199,10,20,199
200,20,10,200
201,10,0,201
202,0,10,202
203,10,19,203
204,19,29,204
205,29,19,205
206,29,28,206
207,28,18,207
